epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7937,2.20262,3.5059,1.37786,0.18802,0.43987,0.16578,0.08656,1.45043,3.03569,1.1121,0.000301269,0.000301269,0.000301269
2,75.1222,1.53355,1.97878,1.07842,0.32457,0.63679,0.31269,0.15655,1.46416,3.28453,1.07398,0.00058034,0.00058034,0.00058034
3,108.035,1.45664,1.6886,1.04739,0.36731,0.66367,0.35822,0.15902,1.75325,3.94392,1.16287,0.000835413,0.000835413,0.000835413
4,196.121,1.3703,1.48442,1.02337,0.37527,0.76173,0.37274,0.15705,1.69114,4.45726,1.11998,0.000801011,0.000801011,0.000801011
5,232.183,1.30786,1.30628,0.99668,0.41302,0.82847,0.41488,0.27175,1.11598,3.44513,0.97119,0.000765014,0.000765014,0.000765014
6,264.508,1.24604,1.22361,0.9804,0.39652,0.80286,0.39685,0.18624,1.72093,3.0473,1.14604,0.000729018,0.000729018,0.000729018
7,296.893,1.24592,1.1642,0.98548,0.41204,0.84241,0.41432,0.24232,1.29381,3.31657,1.01258,0.000693022,0.000693022,0.000693022
8,329.716,1.25684,1.1236,0.98532,0.40201,0.85522,0.40345,0.21012,1.4877,3.28969,1.07978,0.000657025,0.000657025,0.000657025
9,361.884,1.22392,1.1322,0.97474,0.41519,0.84826,0.42295,0.27472,1.15199,3.26784,0.98936,0.000621029,0.000621029,0.000621029
10,394.352,1.14753,1.02573,0.96233,0.41524,0.88569,0.42098,0.22889,1.50963,3.88218,1.07617,0.000585032,0.000585032,0.000585032
11,427.909,1.13975,0.98937,0.95294,0.41563,0.90949,0.43048,0.2974,1.0132,3.43188,0.94497,0.000549036,0.000549036,0.000549036
12,464.017,1.12654,0.9643,0.95301,0.4138,0.87563,0.40971,0.20218,1.69052,3.27179,1.13026,0.00051304,0.00051304,0.00051304
13,500.247,1.09386,0.93388,0.94229,0.42228,0.92891,0.42874,0.28881,1.09053,3.01524,0.96437,0.000477043,0.000477043,0.000477043
14,536.398,1.09365,0.88239,0.94286,0.42082,0.93786,0.43004,0.25659,1.31672,3.54201,1.02022,0.000441047,0.000441047,0.000441047
15,602.679,1.08189,0.89235,0.93836,0.42302,0.92339,0.43002,0.30234,0.99795,4.05111,0.94515,0.00040505,0.00040505,0.00040505
16,661.333,1.07043,0.86349,0.95321,0.42318,0.90993,0.42587,0.23646,1.44865,3.35746,1.05314,0.000369054,0.000369054,0.000369054
17,694.561,0.98192,0.8,0.93136,0.42617,0.90514,0.42855,0.29672,1.05764,3.31848,0.954,0.000333058,0.000333058,0.000333058
18,727.076,0.97848,0.77637,0.92854,0.41799,0.90215,0.41817,0.20544,1.70721,3.94148,1.12569,0.000297061,0.000297061,0.000297061
19,758.843,0.93834,0.76084,0.92133,0.4261,0.92609,0.42734,0.29373,1.07227,3.48144,0.96317,0.000261065,0.000261065,0.000261065
20,791.599,0.93607,0.73471,0.9237,0.41971,0.9164,0.42155,0.22599,1.57475,3.72943,1.09645,0.000225068,0.000225068,0.000225068
21,823.008,0.92951,0.737,0.91956,0.42809,0.92616,0.42965,0.31296,0.93361,3.52049,0.93198,0.000189072,0.000189072,0.000189072
22,853.117,0.88749,0.70848,0.90956,0.42421,0.93256,0.43063,0.26394,1.30829,3.28265,1.01379,0.000153076,0.000153076,0.000153076
23,884.96,0.88854,0.71307,0.90897,0.427,0.9337,0.42996,0.27585,1.20007,4.00122,0.98645,0.000117079,0.000117079,0.000117079
24,915.944,0.86745,0.68983,0.90673,0.42504,0.94492,0.42839,0.28985,1.11206,3.50212,0.96417,8.10828e-05,8.10828e-05,8.10828e-05
25,946.333,0.86212,0.67459,0.90232,0.42505,0.9552,0.42748,0.29202,1.09125,3.58158,0.95662,4.50864e-05,4.50864e-05,4.50864e-05
