epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,976.431,0,112.48,0,0,0,0,0,0,230.128,0,0.000328042,0.000328042,0.000328042
2,1905.34,0,91.5738,0,0,0,0,0,0,173.058,0,0.00063955,0.00063955,0.00063955
3,3086.29,0,75.3331,0,0,0,0,0,0,537.612,0,0.000929058,0.000929058,0.000929058
4,4003.23,0,59.318,0,0,0,0,0,0,763.699,0,0.000901,0.000901,0.000901
5,4868.65,0,44.905,0,0,0,0,0,0,174.819,0,0.000868,0.000868,0.000868
6,6009.38,0,33.2473,0,0,0,0,0,0,60.4558,0,0.000835,0.000835,0.000835
7,6933.63,0,24.31,0,0,0,0,0,0,44.4543,0,0.000802,0.000802,0.000802
8,7802.01,0,17.5793,0,0,0,0,0,0,32.1485,0,0.000769,0.000769,0.000769
9,9058.25,0,12.6264,0,0,0,0,0,0,22.6896,0,0.000736,0.000736,0.000736
10,9939.62,0,9.05237,0,0,0,0,0,0,16.3155,0,0.000703,0.000703,0.000703
11,10918.9,0,6.43221,0,0,0,0,0,0,11.7166,0,0.00067,0.00067,0.00067
